,count,minNt_r
115258,809,0009000d0f0000008b000000008500000000000500008e09
115669,808,0005000a0500000009850b00000089000000
116863,806,000a0000008c00000000858900000000000f00000504008d
116236,806,00008a00898400000b000000068b00070000
113308,804,008986008900840a00860000000000000400
116148,803,00000000000700840000888709008400000b
116167,803,0b000000088f0000008900000000840000000c000c000700
114852,803,000a07000000000084000000008b070a0000
116662,801,848a880000000000008f0084000e00000800000700000000
112999,798,000000000600850000000a0b008800090000
113894,797,8f08080008000088000086000000000000040000000e0000
113211,796,000005050e00000000008a000086000d000900000000008e
115193,795,008e008b00000000000000878c0000000b000400050e0000
116214,794,00000f00000b00000b008f080000868a0000000000000700
116855,794,0089000086000e000000000000008e0b008d000700000089
113810,793,008b86860000880005008800000008000000
117214,791,000009000f0000008e0b0b000000000084000000058a0000
113812,791,0000000f0000870b000000008e8f00060000008700008b00
114685,790,000084000d00008f008a8804000000000b00
113062,790,0a0000000000068b070000060000008a0086
113877,790,00000000890008060006000087000000090b
114634,790,000a8500000089000f000c06000000008f00
116748,789,0000000007008600008b0089000e0000000a00008e840000
112974,789,0000000d00008d8b00008e00000000058a000086000b0000
115215,788,00060b000000000000008600000800008906
113217,788,008b0700000000008b008700008b00000a00
115228,788,07008b000000000900000000008700008906
113908,788,04000a0000040089000000000a0085090000
117159,787,008b000000000000000d00000000008d068c0000000b8786
112932,787,00000000000600008b00000a878488008a00
113011,787,000000890000000087000006000006050009
112971,786,890004000000000000040085000b07000000
113310,786,8a000000000006000087000087850b000000
114693,786,00000000000800890c00860006000000898e
113247,786,8687008c000000008b0000000d0f00000900000000060000
112778,785,870000060087000500000000
114623,784,07000e0000000000000009008d0084898a00
114795,780,0087008b0000000088840005000000000009
116752,779,0f070f000000000000008700000b0400000000000089008c
115213,775,8800000085000c070500000000000000058d0a0000000000
114433,774,00000007000b8a89008a0600008400000000
114186,773,00008b000e000809070000000000008d0000008700000a00
116832,772,0008000086850088000000000509000b0000
116726,772,000089058b000a0000000000008689008500
116924,771,00000b0000000e890000000087000084890000008f000005
113580,771,890400008900000000080089000000008600
116965,771,00008a000000008600000000000000088c8c0b0d06000000
116902,771,890000000000000f00070000000008850a00000000048c00
116359,770,00000089888f0f0000000000000008848c00000000000005
116727,768,880005000500890f000000000085008f00000000000a0000
113833,767,0a070a0000008b0000000405008700000000
115481,767,840089000000000000008d00878600000b0007000000000f
116571,766,00000c070000878800000000008e070006000000000b0000
113304,765,000000890c0000000000001200060a0092008d0000870000
113802,765,8700000000000b000000008f04000c000f000400008a0000
113133,764,0000008600000b00000400040088008b0700
115187,764,00000089008500090000000000008a078400
116865,764,00000d0e008a00070000000000008d84840000000000000a
114319,762,860d850000008b0000060c00008e00000000000008000000
117094,762,008b0085000000000f0e008a00008e050000000008000000
114717,762,008a000000000084000b0c000000008e0904
113860,762,00000b8c0b000000008500008e0600008900000000000e00
113796,761,008f0a000000000000070f0e008800040000000000870000
117126,761,008d000a0000090000000d00000700000000850087880000
116961,758,00008500090000000000008c070c0d000000008400000088
115192,754,0000840088000000008c0000000009000e0b0d0700000000
114109,754,00890000860004078d00000000008f0b000000000000000c
117125,753,000000850000078800000000080b000b0006
113887,753,00860800000f8b000000000000008c8e000a000600000000
115233,753,000600000088000000000b008a0500000084
117207,752,0600000000000900840800000000870e0000000000008f8a
115184,749,000000060000870884000000878900008900
113109,749,000b000000008b0088000085008b04000006
113166,749,0005890000000085008b8900088d00000000000000000e00
116707,749,000400008b0000000c000e09000000008c0087000000008b
117138,748,0008850900008e840000000000000000000500000089000c
